Gold,Silver,BGMI,XAU
,0.72,,
,,27.53,
,,28.31,
,,27.66,
,,27.66,
,0.72,,
,,27.41,
,,28.47,
,,27.84,
,,28.34,
,0.72,28.56,
,,30.69,
,,31.28,
,,31.19,
,,30.88,
,0.72,,
,,31.25,
,,31.5,
,,30.69,
,,30.44,
,0.72,,
,,29.81,
,,29.34,
,,28.97,
,,29.75,
,0.72,30.94,
,,31.09,
,,31,
,,31.06,
,,31.31,
,0.72,,
,,32.12,
,,31.78,
,,32.34,
,,31.78,
,0.72,,
,,31.91,
,,32.53,
,,32.22,
,,33.22,
,,32.38,
,0.72,,
,,32.94,
,,33.59,
,,34,
,,35.06,
,0.72,,
,,34.69,
,,33.09,
,,32.38,
,,32.91,
,0.72,,
,,32.69,
,,32.59,
,,32.12,
,,32.16,
,,33.19,
40.5,,,
,0.74,,
,,33.31,
,,32.84,
,,32.66,
,,31.66,
,0.74,,
,,32.06,
,,32.06,
,,31.91,
,,31.5,
,0.74,,
,,31.53,
,,30.94,
,,31.12,
,,30.94,
,,30.66,
,0.74,,
,,30.16,
,,30.81,
,,30.34,
,,30.69,
,0.74,,
,,30.69,
,,30.38,
,,30.44,
,,31.12,
,0.74,,
,,31.06,
,,30.31,
,,29.69,
,,30.09,
,,27.97,
,0.74,,
,,27.69,
,,24.75,
,,25.56,
,,25.19,
,0.74,,
,,26.44,
,,27.25,
,,27.06,
,,27.84,
,0.74,26.91,
,,27,
,,28.12,
,,28.78,
,,30.19,
,0.74,,
,,29.16,
,,29,
,,29.09,
,,28.09,
,0.74,,
,,27.84,
,,27.47,
,,26.47,
,,26.84,
,0.74,26.88,
,,26.62,
,,25.56,
,,26.75,
,,26.47,
40.25,,,
,0.89,,
,,27.25,
,,29.62,
,,31.25,
,,31.44,
,0.89,,
,,31.16,
,,31.5,
,,33.19,
,,33.1,
,0.89,,
,,32.25,
,,32,
,,30.97,
,,31.19,
,,30.72,
,0.89,,
,,30.12,
,,30.53,
,,30.03,
,,29.75,
,0.89,,
,,30,
,,29.66,
,,29.91,
,,28.62,
,0.89,28.75,
,,28,
,,28.41,
,,28.47,
,,28,
,0.89,,
,,28.22,
,,28.06,
,,28.16,
,,29.34,
,0.89,,
,,29.84,
,,29.59,
,,31.34,
,,30.84,
,,31.66,
,0.89,,
,,31.47,
,,34.22,
,,32.34,
,,32.97,
,0.89,,
,,33.69,
,,34.03,
,,33,
,,34,
,0.89,,
,,33.28,
,,32.41,
,,33.03,
,,32.71,
,,32.62,
,0.89,,
,,32.69,
,,32.75,
,,33.16,
,,32.72,
40,,,
,0.85,,
,,33.03,
,,32.72,
,,32.62,
,,33.62,
,0.85,32.69,
,,33.41,
,,33.53,
,,33.44,
,,34.03,
,0.85,,
,,35.44,
,,36.41,
,,36.72,
,,36.69,
,0.85,,
,,38.69,
,,37.97,
,,36.75,
,,35.5,
,0.85,,
,,34.56,
,,35.66,
,,35.19,
,,36.06,
,,35.81,
,0.85,,
,,35.41,
,,35.62,
,,35.62,
,,35.81,
,0.85,,
,,35.81,
,,35.56,
,,35.38,
,,34.91,
,0.85,34.78,
,,35.69,
,,36.16,
,,35.53,
,,36.47,
,0.85,,
,,36.62,
,,35.72,
,,35.41,
,,35.06,
,0.85,,
,,34.5,
,,34.38,
,,33.53,
,,32.66,
,,32.91,
,0.85,,
,,33.75,
,,32.53,
,,32.16,
,,33.72,
,0.85,,
,,34.75,
,,34.31,
,,33.81,
,,33.94,
38.7,,,
,0.85,,
,,34.56,
,,34.97,
,,34.03,
,,34.34,
,,34.09,
,0.85,,
,,32.97,
,,33.78,
,,33.75,
,,34,
,0.85,,
,,34.69,
,,34.81,
,,34.28,
,,33.56,
,0.85,,
,,34.09,
,,33.47,
,,33.78,
,,32.47,
,0.85,32.53,
,,32.69,
,,31.91,
,,32.34,
,,31.03,
,0.85,,
,,30.97,
,,30.69,
,,30.16,
,,30,
,0.85,,
,,29.78,
,,30.19,
,,29.78,
,,29.47,
,,29.5,
,0.85,,
,,30.06,
,,29.94,
,,29.59,
,,29,
,0.85,,
,,28.75,
,,28.56,
,,27.41,
,,28.16,
,0.85,,
,,27.59,
,,27.19,
,,27.41,
,,28.5,
,,28.12,
,0.85,,
,,27.91,
,,27.81,
,,27.44,
,,27.28,
,0.85,,
,,27.72,
,,27.25,
,,27.03,
,,26.81,
35.5,,,
,0.85,26.72,
,,27.75,
,,27.75,
,,28.03,
,,28.44,
,0.85,,
,,29.16,
,,29.06,
,,29,
,,29.34,
,0.85,,
,,30,
,,29.81,
,,30.78,
,,30.72,
,0.85,,
,,32,
,,31.91,
,,32,
,,31.38,
,,32.31,
,0.85,,
,,31.94,
,,31.94,
,,31.75,
,,32.28,
,0.85,,
,,32.22,
,,32,
,,31.62,
,,31.91,
,0.85,,
,,31.09,
,,31.5,
,,30.94,
,,32.09,
,,33.12,
,0.85,,
,,32.56,
,,33.12,
,,33.41,
,,33.34,
,0.85,,
,,34.16,
,,34.34,
,,34.31,
,,34.5,
,0.85,33.44,
,,36,
,,34.28,
,,34.66,
,,33.06,
,0.85,,
,,33.75,
,,34.84,
,,34.19,
,,34.59,
,0.85,,
,,34.78,
,,36.38,
,,36.38,
,,35.94,
35.25,,36.69,
,0.89,,
,,35.34,
,,35.84,
,,34.97,
,,35.34,
,0.89,,
,,34.84,
,,35.94,
,,35.34,
,,34.94,
,0.89,,
,,35,
,,34.56,
,,33.91,
,,34.31,
,0.89,34.88,
,,34.34,
,,34.34,
,,34.06,
,,33.75,
,0.89,,
,,32.88,
,,33.09,
,,33.78,
,,34.25,
,0.89,,
,,35.25,
,,37.72,
,,37.03,
,,36.47,
,0.89,37.16,
,,36.47,
,,35.59,
,,36.81,
,,37.16,
,0.89,,
,,36.56,
,,36.34,
,,35.47,
,,35.91,
,0.89,,
,,35.41,
,,35.47,
,,35.88,
,,35.84,
,,34.12,
,0.89,,
,,33.44,
,,32.16,
,,32.47,
,,31.97,
,0.89,,
,,32.03,
,,32.44,
,,31.92,
,,34.53,
,0.89,,
,,34.81,
,,34.5,
,,34,
,,34.12,
,,33.81,
35.15,,,
,0.92,,
,,34,
,,34.19,
,,34.53,
,,35.28,
,0.92,,
,,36.59,
,,36.88,
,,37.69,
,,37.78,
,0.92,,
,,38.03,
,,37.53,
,,37.72,
,,37.62,
,,37.44,
,0.92,,
,,36.81,
,,36.22,
,,36.06,
,,37.09,
,0.92,,
,,37,
,,36.56,
,,36.06,
,,35.12,
,0.92,34.59,
,,34.44,
,,34.38,
,,33.91,
,,33.38,
,0.92,,
,,34.31,
,,34.84,
,,35.62,
,,35.91,
,0.92,,
,,36.03,
,,35.69,
,,35.81,
,,35.25,
,,35.22,
,0.92,,
,,35,
,,34.06,
,,34,
,,33,
,0.92,,
,,32.66,
,,33.22,
,,32.69,
,,32.78,
,0.92,,
,,32.25,
,,32.78,
,,32.62,
,,32,
,,31.03,
,0.92,,
,,32.19,
,,32,
,,31.91,
,,32.34,
35.2,,,
,0.92,,
,,33,
,,34.41,
,,34.16,
,,33.38,
,0.92,33.5,
,,33.31,
,,33.19,
,,33.22,
,0.92,32.34,
,,32.31,
,,32.69,
,,33.16,
,,33.47,
,0.92,,
,,34.16,
,,35.25,
,,37.62,
,,37.81,
,0.92,,
,,38.28,
,,39.31,
,,39.28,
,,38.66,
,,38.5,
,0.92,,
,,42.94,
,,43.19,
,,41.31,
,,41.28,
,0.92,,
,,42.03,
,,43.38,
,,41.97,
,,41.53,
,0.92,,
,,40.72,
,,38.94,
,,37.34,
,,36.25,
,,35.06,
,0.92,,
,,35.78,
,,35.72,
,,35.12,
,,34.16,
,0.92,,
,,33.66,
,,31.38,
,,31.59,
,,30.25,
,0.92,30.75,
,,31.06,
,,30.31,
,,30.69,
,,30.66,
,0.92,,
,,30.91,
,,29.91,
,,29.16,
,,28.59,
35.25,,,
,0.89,,
,,29.5,
,,29.56,
,,30.84,
,,32.59,
,,32.47,
,0.89,,
,,33.16,
,,32,
,,32.16,
,,33.47,
,0.89,,
,,33.22,
,,33.53,
,,33.59,
,,33.69,
,0.89,,
,,33.69,
,,33.16,
,,32.88,
,,34.94,
,0.89,,
,,35.41,
,,35.41,
,,35.88,
,,37.88,
,,36.84,
,0.89,,
,,36.72,
,,37.19,
,,36.66,
,,36.75,
,0.89,,
,,36.03,
,,36.03,
,,34.47,
,,36.59,
,0.89,36.78,
,,37.12,
,,37.06,
,,36.62,
,,37.03,
,0.89,,
,,36.72,
,,36.59,
,,36.72,
,,35.75,
,0.89,,
,,37.78,
,,36.81,
,,36.56,
,,36.84,
,,35.94,
,0.89,,
,,36.16,
,,37.75,
,,39.59,
,,37.25,
,0.89,,
,,38.81,
,,38.22,
,,38.16,
,,37.97,
35.25,,,
,0.92,,
,,42.03,
,,40.59,
,,41.28,
,,42,
,,41.28,
,0.92,,
,,41.12,
,,41.22,
,,40.62,
,,39.94,
,0.92,,
,,39.53,
,,40.28,
,,39.69,
,,38.47,
,0.92,,
,,38.12,
,,38.34,
,,37.66,
,,37.12,
,0.92,37.12,
,,37.62,
,,38.53,
,,41.31,
,,39.97,
,0.92,,
,,40.31,
,,40.97,
,,40.41,
,,40.31,
,0.92,,
,,40.81,
,,40.47,
,,39.44,
,,39.25,
,,39.34,
,0.92,,
,,39.53,
,,40.09,
,,39.34,
,,39.75,
,0.92,,
,,38.09,
,,37.66,
,,39.28,
,,38.12,
,0.92,,
,,37.91,
,,38.28,
,,38,
,,37.81,
,,37.69,
,0.92,,
,,38.44,
,,38.78,
,,38.91,
,,38.22,
,0.92,,
,,39.31,
,,40,
,,40.91,
,,40.84,
35.25,,,
,0.92,41.38,
,,39.84,
,,39.72,
,,38.62,
,,38.44,
,0.92,,
,,37.91,
,,37.19,
,,37.22,
,,36.53,
,0.92,,
,,35.84,
,,36.53,
,,37.75,
,,37.84,
,0.92,37,
,,36.97,
,,36.34,
,,36.12,
,,35.31,
,0.92,,
,,35.34,
,,34.09,
,,33.81,
,,33.72,
,0.92,,
,,33.59,
,,33.34,
,,33.75,
,,32.91,
,0.92,32.88,
,,32.25,
,,33.22,
,,32.81,
,,32.38,
,0.92,,
,,35.31,
,,34.22,
,,35.34,
,,37.25,
,0.92,,
,,38.19,
,,37.78,
,,38.44,
,,37.22,
,,37.59,
,0.92,,
,,39.06,
,,37.53,
,,43.25,
,,39.41,
,0.92,,
,,41.03,
,,40.94,
,,38.81,
,,41.12,
,0.92,,
,,39.62,
,,39.19,
,,39.38,
,,39.53,
,,39.72,
36.5,,,
,0.93,,
,,40.81,
,,44.06,
,,42.69,
,,42.16,
,0.93,,
,,40.75,
,,39.16,
,,39.34,
,,38.44,
,0.93,,
,,38.94,
,,37.28,
,,39.75,
,,38.5,
,,38.62,
,0.93,,
,,38,
,,38.84,
,,38.62,
,,39.56,
,0.93,,
,,40.78,
,,42.84,
,,43.53,
,,43.44,
,0.93,,
,,43.41,
,,43.12,
,,42.5,
,,42.12,
,,43.88,
,0.93,,
,,44.5,
,,43.81,
,,44.09,
,,46.16,
,0.93,,
,,50,
,,49.66,
,,50.88,
,,52.06,
,0.93,52.38,
,,50.91,
,,49.97,
,,48.98,
,,48.09,
,0.93,,
,,48.75,
,,50.25,
,,50.88,
,,52.69,
,0.93,,
,,53.97,
,,53.97,
,,55.19,
,,55.19,
,0.93,55.16,
,,55.09,
,,55.09,
,,52.91,
,,53.34,
35.5,,,
,1.09,,
,,52.84,
,,52.91,
,,53.31,
,,52.78,
,1.09,,
,,52.78,
,,55.56,
,,54.16,
,,54.66,
,1.09,,
,,54.66,
,,54.09,
,,53.72,
,,54.09,
,,52.78,
,1.09,,
,,53.66,
,,53.09,
,,52.28,
,,52.22,
,1.09,,
,,53.38,
,,50.34,
,,52.25,
,,50.34,
,1.09,49.22,
,,49.28,
,,51.62,
,,50.75,
,,48.62,
,1.09,,
,,49.47,
,,51.22,
,,52.66,
,,50.34,
,1.09,,
,,50.84,
,,50.84,
,,49.75,
,,50.69,
,,50.84,
,1.09,,
,,50.97,
,,50.69,
,,50.75,
,,48.81,
,1.09,,
,,48.81,
,,48.34,
,,48.38,
,,48.53,
,1.09,,
,,48.78,
,,48.24,
,,48.53,
,,49.38,
,,49.38,
,1.09,,
,,49.38,
,,48.44,
,,47.84,
,,47.47,
35.35,,,
,1.29,,
,,47.88,
,,50.75,
,,50.03,
,,53.13,
,1.29,52.44,
,,54.09,
,,54.41,
,,54.44,
,1.29,54.09,
,,55.63,
,,55.63,
,,55.59,
,,56.31,
,1.29,,
,,55.71,
,,55.22,
,,56.69,
,,56.03,
,1.29,,
,,54.34,
,,55.44,
,,55.81,
,,55.13,
,,55.69,
,1.29,,
,,55.09,
,,55.22,
,,54.75,
,,54.47,
,1.29,,
,,54.56,
,,54.88,
,,54.44,
,,54.38,
,1.29,,
,,54.59,
,,54.84,
,,55.03,
,,55.41,
,,55.03,
,1.29,,
,,54.22,
,,54.19,
,,54.16,
,,54.38,
,1.29,,
,,52.59,
,,51.94,
,,50.69,
,,50.09,
,1.29,49.91,
,,49.91,
,,49.94,
,,49.03,
,,49.59,
,1.29,,
,,48.88,
,,52.06,
,,53.31,
,,56.66,
35.25,,,
,1.3,,
,,57.06,
,,57.5,
,,58.09,
,,57.56,
,,57.28,
,1.3,,
,,57.22,
,,56.69,
,,55.03,
,,56.03,
,1.3,,
,,57.41,
,,56.69,
,,56.37,
,,56.19,
,1.3,,
,,56.63,
,,58,
,,57.19,
,,57.41,
,1.3,57.53,
,,58.13,
,,58.75,
,,58.34,
,,58.78,
,1.3,,
,,58.25,
,,58.03,
,,58.22,
,,57.69,
,1.3,,
,,58.16,
,,58.84,
,,58,
,,57.94,
,,58.16,
,1.3,,
,,58.31,
,,58.56,
,,59.16,
,,59.28,
,1.3,,
,,58.69,
,,58.53,
,,60.5,
,,62.41,
,1.3,,
,,63.47,
,,63.16,
,,63.44,
,,63.06,
,,63.78,
,1.3,,
,,64.78,
,,66.69,
,,65.75,
,,66.25,
,1.3,,
,,66.13,
,,67.59,
,,71.47,
,,72.31,
35.35,,,
,1.3,74.16,
,,72.81,
,,70.31,
,,70.22,
,,69.88,
,1.3,,
,,69.19,
,,69.91,
,,71.25,
,,71.91,
,1.3,,
,,72.63,
,,73.72,
,,73.78,
,,74.13,
,1.3,,
,,74.94,
,,74.69,
,,74.94,
,,77,
,,81.38,
,1.3,,
,,79.78,
,,79.22,
,,84.42,
,,88.54,
,1.3,,
,,84.52,
,,85.51,
,,84.51,
,,85.3,
,1.3,,
,,88.79,
,,93.19,
,,94.19,
,,98.36,
,,104.82,
,1.3,,
,,116.23,
,,109.72,
,,116.73,
,,116.45,
,1.3,,
,,112.3,
,,105.44,
,,105.82,
,,106.75,
,1.3,104.26,
,,94.4,
,,94.4,
,,98.58,
,,103.01,
,1.3,,
,,99.3,
,,99.77,
,,99.8,
,,96.68,
,1.3,,
,,95.37,
,,92.19,
,,85.17,
,,89.97,
35.5,,90.44,
,1.3,,
,,93.5,
,,93.9,
,,98.64,
,,106.78,
,1.3,,
,,109.81,
,,108.4,
,,111.34,
,,109.25,
,1.3,,
,,104.6,
,,107.28,
,,103.97,
,,106.47,
,1.3,109.56,
,,106.16,
,,106.97,
,,108.9,
,,108.5,
,1.3,,
,,116.48,
,,116.76,
,,126.61,
,,128.27,
,1.3,,
,,130.61,
,,123.19,
,,121.72,
,,124.43,
,1.3,125.99,
,,122,
,,126.56,
,,126.18,
,,132.48,
,1.3,,
,,126.18,
,,124.31,
,,122.79,
,,123.12,
,1.3,,
,,118.67,
,,115.3,
,,111.71,
,,114.77,
,,113.64,
,1.3,,
,,93.9,
,,98.33,
,,95.36,
,,98.05,
,1.3,,
,,94.74,
,,88.5,
,,92.8,
,,94.64,
,1.3,,
,,101.85,
,,104.22,
,,98.7,
,,98.64,
,,105.47,
35.4,,,
,1.56,,
,,103.13,
,,101.14,
,,115.58,
,,110.93,
,1.56,,
,,108.09,
,,111.02,
,,109.71,
,,109.21,
,1.56,,
,,113.7,
,,111.61,
,,106.65,
,,104.35,
,,105.22,
,1.56,,
,,98.11,
,,108.56,
,,111.89,
,,109.65,
,1.56,,
,,108.62,
,,108.62,
,,100.54,
,,120.88,
,1.56,,
,,121.06,
,,122.09,
,,121.84,
,,124.56,
,,125.93,
,1.56,,
,,124.99,
,,119.79,
,,126.74,
,,126.12,
,1.56,,
,,134.89,
,,133.36,
,,141.28,
,,145.8,
,1.56,120.66,
,,118.07,
,,116.01,
,,114.36,
,,121.6,
,1.56,,
,,119.13,
,,124.34,
,,123.19,
,,119.66,
,1.56,,
,,120.04,
,,128.18,
,,126.55,
,,137.5,
,1.56,141.03,
,,147.27,
,,165.64,
,,163.61,
,,166.08,
35.5,,,
,2.173,,
,2.225,,
,2.171,,
,2.157,162.68,
,2.163003,,
,2.109,,
,2.085,,
,2.094,,
,2.127,169.94,
,2.114,,
,2.069,,
,2.066997,,
,2.058003,,
,2.078003,177.52,
,2.088,,
,2.08,,
,2.064,,
,2.018002,,
,2.069,178.43,
,2.039,,
,2.019,,
,1.96,,
,1.995,,
,2.02,186.13,
,2,,
,1.948002,,
,1.965,,
,1.979,,
,1.938002,206.75,
,1.929,,
,1.923,,
,1.919,,
,1.939,,
,1.999,209.34,
,1.969,,
,1.98,,
,2.03,,
,2.029,,
,2.017,205.1,
,2.065,,
,2.105,,
,2.105,,
,2.084,,
,2.2,228.28,
,2.19,,
,2.188,,
,2.134,,
,2.189,,
,2.228,230.99,
,2.197,,
,2.222,,
,2.37,,
,2.49,,
,,225.81,
,2.119,,
,2.404,,
,2.237,,
,2.303,,
,2.218,193.43,
,2.241,,
,2.243003,,
,2.302,,
,2.249,,
,2.278,198.64,
38,2.259,,
37.6,2.202,,
37.7,2.195,,
36.7,2.125,,
37.2,2.104,153.94,
37,2.134,,
37.25,2.205,,
37.6,2.203003,,
38.05,2.161,,
,,172.62,
38.1,2.253,,
38,2.303,,
37.6,2.231998,,
37.65,2.281,178.21,
38.3,2.36,,
38.05,2.36,,
38.35,2.299,,
38.25,2.308003,,
38.5,2.327,188.35,
38.55,2.396,,
39.1,2.397,,
39.1,2.356998,,
39.25,2.296997,,
39.6,2.315,195.95,
39.7,2.335,,
39.3,2.245,,
39.5,2.320997,,
39.7,2.319,,
39.8,2.360998,206.4,
39.4,2.359,,
39.6,2.379,,
40.1,2.401,,
40.85,2.459,,
41.6,2.505,227.24,
42,2.506,,
42.6,2.554003,,
42.2,2.467,,
41.5,2.48,,
41.75,2.503,209.4,
41.5,2.515,,
41.6,2.49,,
41.5,2.416,,
41.75,2.477,,
42,2.483,209.4,
41.2,2.426,,
41.4,2.421,,
41.25,2.454,,
41.2,2.478,203.6,
41.35,2.445997,,
41.3,2.506,,
42.1,2.576,,
41.4,2.52,,
40.2,2.465,215.23,
40.9,2.432,,
40.7,2.431,,
41.4,2.534003,,
41.05,2.468,,
41.05,2.449,199.85,
41.05,2.483,,
40.85,2.512,,
